id,vid,token,vtoken,lctoken,freq,loglik,logfreq,llrank,freqrank,idbrac10,idbrac50,idbrac100,vidbrac10,vidbrac50,vidbrac100,freqbrac10,freqbrac50,freqbrac100,llbrac10,llbrac50,llbrac100
171,171,dear,dear,dear,2,-28.88,0.6931471805599453,74,106,5,29,59,5,29,59,7,35,70,4,24,49
171,"","!
","","",0,"",-Infinity,"","",5,29,59,0,0,0,0,0,0,0,0,0
172,172,Oh,Oh,oh,2,-35.88,0.6931471805599453,79,105,6,30,60,6,30,60,7,35,70,5,26,52
172,"", ,"","",0,"",-Infinity,"","",6,30,60,0,0,0,0,0,0,0,0,0
173,173,dear,dear,dear,2,-28.88,0.6931471805599453,74,106,6,30,60,6,30,60,7,35,70,4,24,49
173,"",! ,"","",0,"",-Infinity,"","",6,30,60,0,0,0,0,0,0,0,0,0
174,174,I,I,i,2,-28.88,0.6931471805599453,73,116,6,30,60,6,30,60,7,38,77,4,24,48
174,"", ,"","",0,"",-Infinity,"","",6,30,60,0,0,0,0,0,0,0,0,0
175,175,shall,shall,shall,1,-8.64,0.0,107,88,6,30,61,6,30,61,5,29,58,7,35,71
175,"", ,"","",0,"",-Infinity,"","",6,30,61,0,0,0,0,0,0,0,0,0
176,176,be,be,be,2,-20.02,0.6931471805599453,56,109,6,30,61,6,30,61,7,36,72,3,18,37
176,"", ,"","",0,"",-Infinity,"","",6,30,61,0,0,0,0,0,0,0,0,0
177,177,late,late,late,1,-14.84,0.0,29,85,6,30,61,6,30,61,5,28,56,1,9,19
177,"",!' (,"","",0,"",-Infinity,"","",6,30,61,0,0,0,0,0,0,0,0,0
178,178,when,when,when,3,-51.23,1.0986122886681098,88,134,6,31,62,6,31,62,8,44,89,5,29,58
178,"", ,"","",0,"",-Infinity,"","",6,31,62,0,0,0,0,0,0,0,0,0
179,179,she,she,she,7,-119.53,1.9459101490553132,8,145,6,31,62,6,31,62,9,48,96,0,2,5
179,"", ,"","",0,"",-Infinity,"","",6,31,62,0,0,0,0,0,0,0,0,0
180,180,thought,thought,thought,2,-20.02,0.6931471805599453,55,114,6,31,62,6,31,62,7,38,76,3,18,36
180,"", ,"","",0,"",-Infinity,"","",6,31,62,0,0,0,0,0,0,0,0,0
181,181,it,it,it,11,-211.44,2.3978952727983707,65,102,6,31,63,6,31,63,6,34,68,4,21,43
181,"", ,"","",0,"",-Infinity,"","",6,31,63,0,0,0,0,0,0,0,0,0
182,182,over,over,over,1,-17.08,0.0,53,78,6,31,63,6,31,63,5,26,52,3,17,35
182,"", ,"","",0,"",-Infinity,"","",6,31,63,0,0,0,0,0,0,0,0,0
183,183,afterwards,afterwards,afterwards,1,-8.64,0.0,110,65,6,31,63,6,31,63,4,21,43,7,36,73
183,"",", ","","",0,"",-Infinity,"","",6,31,63,0,0,0,0,0,0,0,0,0
184,184,it,it,it,11,-211.44,2.3978952727983707,65,102,6,32,64,6,32,64,6,34,68,4,21,43
184,"","
","","",0,"",-Infinity,"","",6,32,64,0,0,0,0,0,0,0,0,0
